Timestamp,Source,Event,Detail,IP,Severity
2024-10-15 01:30:15,API,Brute Force Attempt,Multiple failed authentication attempts (5) from 192.168.1.100,192.168.1.100,HIGH
2024-10-15 01:45:10,API,Account Enumeration,User sec_team accessed 5 different accounts in 20.0 seconds,10.0.0.50,HIGH
2024-10-15 06:47:15,API,Broken Access Control,User 1523 accessed account 1524.0 via /api/v1/portfolio/1524 (Status: 200) from 203.0.113.45,203.0.113.45,CRITICAL
2024-10-15 06:47:18,API,Broken Access Control,User 1523 accessed account 1525.0 via /api/v1/portfolio/1525 (Status: 200) from 203.0.113.45,203.0.113.45,CRITICAL
2024-10-15 06:47:21,API,Broken Access Control,User 1523 accessed account 1526.0 via /api/v1/portfolio/1526 (Status: 200) from 203.0.113.45,203.0.113.45,CRITICAL
2024-10-15 06:47:24,API,Broken Access Control,User 1523 accessed account 1527.0 via /api/v1/portfolio/1527 (Status: 200) from 203.0.113.45,203.0.113.45,CRITICAL
2024-10-15 06:47:27,API,Broken Access Control,User 1523 accessed account 1528.0 via /api/v1/portfolio/1528 (Status: 200) from 203.0.113.45,203.0.113.45,CRITICAL
2024-10-15 06:47:30,API,Broken Access Control,User 1523 accessed account 1529.0 via /api/v1/portfolio/1529 (Status: 200) from 203.0.113.45,203.0.113.45,CRITICAL
2024-10-15 06:47:33,API,Broken Access Control,User 1523 accessed account 1530.0 via /api/v1/portfolio/1530 (Status: 200) from 203.0.113.45,203.0.113.45,CRITICAL
2024-10-15 06:47:36,API,Broken Access Control,User 1523 accessed account 1531.0 via /api/v1/portfolio/1531 (Status: 200) from 203.0.113.45,203.0.113.45,CRITICAL
2024-10-15 06:47:39,API,Broken Access Control,User 1523 accessed account 1532.0 via /api/v1/portfolio/1532 (Status: 200) from 203.0.113.45,203.0.113.45,CRITICAL
2024-10-15 06:47:42,API,Broken Access Control,User 1523 accessed account 1533.0 via /api/v1/portfolio/1533 (Status: 200) from 203.0.113.45,203.0.113.45,CRITICAL
